branchCode,branchName,address1,districtId,stateId,isHub,phone1,phone2,address2,cityId
KNCP,KANCHIPURAM,"D.NO.206B,RAJARAJAN STREET,THIRUKALIMEDUMAIN ROAD,,NEAR SANTHI KALYANA MANDAPAM,MIN NAGAR,KANCHIPURAM",73,9,0,,,,
MRMN,MARAIMALAINAGAR,"MARAIMALAI NAGAR,,NO.116,MIG,NH-1,VALLAL SEETHAKATHI STREET,OPP.POST OFFICE,",73,9,0,,,,
SPBR,SRIPERUMBUDUR,"NO.7,SHOP NO.2, GROUND FLOOR DEVENDRA NAGAR,,nemili road, sriperumbudur",73,9,0,,,,
GMPD,GUMMIDIPOONDI,"NO.343,GNT.ROAD, PETHIKUPPAM,,Gummidipoondi",74,9,0,,,,
PNER,PONNERI,"D-NO:50,REDHILLS ROAD,OPP:GOWRI THETARE,PONNERI,TIRUVALLUR (DIST)",74,9,0,,,,
TRTN,THIRUTHANI,"D.NO.384, M.P.S.SALAI, TIRUTTANI,,Tiruvallur district, Tamilnadu",74,9,0,,,,
TRVL,TIRUVALLUR,"NO.1,CHENDOORPOO STREET, NEAR SIVA-VISHNU TEMPLE,POONGANAGAR, THIRUVALLUR-602 001",74,9,0,,,,
CHAP,CHENNAI - ATHIPET,"D.NO.17/3 (OLD NO.15), ATHIPET MAIN ROAD, ,DR.AMBEDKAR NAGAR,AMBATTUR,CHENNAI-600 058",75,9,0,,,,
ARNI,ARNI,"ARNI ,D.NO.50,OLD ARCOT RAOD,,BEHIND IOC BANK, TIRUVANNAMALAI DIST.",76,9,0,,,,
TUML,TIRUVANNAMALAI,"D.NO.46,SOMAVARAKULA STREET,TIRUVANNAMALAI (VILLAGE), TIRUVANNAMALAI DIST.",76,9,0,,,,
ARKM,ARAKKONAM,"D.NO.76,RAJAJI 1ST STREET,STUARTPET,VELLORE DIST, ARAKKONAM",77,9,0,,,,
GDYT,GUDIYATTAM,"NO.74, VP KOVIL STREET, PICHANOOR,GUDIYATTAM, VELLORE (DIS)-632 602",77,9,0,,,,
PNBT,PERNAMBUT,"NO.46-C,MOSUOODIYA MOSQUE ST,NEW TOWN,V.KOTA ROAD,SHAAD FUNCTION HALL (OPP),PNBT-635810,VELLORE(DT)",77,9,0,,,,
RNPT,RANIPET,"NO.38/4, AMMOR ROAD, NEAR SHANMUGAM THEATRE,MUTHUKADAI, RANIPET-632 401",77,9,0,,,,
VLLR,VELLORE,"D.NO.220, NEW BYEPASS ROAD, SHENBAKKAM,,VELLORE - 632 008, TAMILNADU",77,9,0,,,,
TDVN,TINDIVANAM,"TINDIVANAM,NO.63 SEDAN,KUTTAI STREET,TINDIVANAM.",78,9,0,,,,
VLPM,VILLUPURAM,"VILLUPURAM,,NO.1/2,PALANIVEL LAYOUT,KANIYAKULAM ROAD,NEAR MURUGA THEATRE,",78,9,0,,,,
BDMI,BADAMI,"SURVEY NO.120/2, BADAMI BANASHANKARI ROAD,,Badami - 587 201",43,4,0,,,,
BGKT,BAGALKOT,"D.NO.157/W, WARD NO.10,SETLEMENT COLONY,NEAR SAKRI SCHOOL, BAGALKOT",43,4,0,,,,
BLGI,BILGI,"SURVEY 712, MAIN BAZAR, NEAR VEGETABLE,MARKET, BILAGI- 587 116",43,4,0,,,,
BGFR,BELAGAVI - FORT ROAD,"SERVEY NO.32 CHANDRA BAG PLAZA GAYATRI NAGAR,KHASBAG,OLDP.B.ROAD.OPP DHAKOJI HOSPITAL BELGUM",44,4,0,,,,
BGUB,BELAGAVI - UDYAMBAG,"39/31, MAHALAXMI BUILDING, KHADARAWADI ROAD,DEVENDRANAGAR, BELGAUM-UDYAMBAG-590 008",44,4,0,,,,
NPAN,NIPANI,"SURVEY NO.135, PLOT NO.16, D.NO.1908,,PRATIBHA NAGAR,NIPPANI P.O,CHIKODI T.K,BEFR DIST.",44,4,0,,,,
BJPR,BIJAPUR,"SHOP NO. 50, APMC COMPLEX,INDI ROAD, BIJAPUR",45,4,0,,,,
CTDG,CHITRADURGA,"SHOP NO.15, SRI VINAYAKA COMPLEX,R.M.C.ROAD, CHITRADURGA, KARNATAKA.",33,4,0,,,,
MGLR,MANGALORE,"20/14-868/1, GOODS SHED ROAD,BUNDER, MANGALURU.",46,4,0,,,,
DVG,DAVANAGERE,"B.T.MAHALAKSHMI GINNING,RMC ROAD, DAVANAGERE",34,4,0,,,,
