SKUCode,product,packSize,lengthCms,widthCms,heightCms,CDM,chargedWeight,consignorId
85108 A,ELCAIRS 1/- (Pouch),,44,32,18,25.34,6.57
DWVA72,,,37,36,25,33.3,8.63
DCAC1000g,,,48,46,24,52.99,13.74
DWRCHT30,,,42,32,19,25.54,6.62
DCHB4.5G,,,50,46,22,50.6,13.12
DBOR35SP,,,40,28,23,25.76,6.68
DBST35SP,,,40,28,23,25.76,6.68
DBCH35SP,,,40,28,23,25.76,6.68
DBCK48,,,34,28,19,18.09,4.69
DNS60,,,49,30,31,45.57,11.81
DBKSP120,,,50,23,35,40.25,10.44
DBSKSP400,,,60,36,24.5,52.92,13.72
DCKGB13.5g,,,59,39.5,31.8,74.11,19.21
DWRCJ180,WAFFY ROLLS JAR (CHOC.) 250g,250X24,41,30.5,25.5,31.89,8.27
DUGPB180G,,,47.2,29.7,17.2,24.11,6.25
DUGP375G,,,42.5,33.5,23,32.75,8.49
DWSTOR100,,,53,36.5,21,40.62,10.53
DDWVA75,,,39.5,24,17.2,16.31,4.23
DWCHOR100,,,53,36.5,21,40.62,10.53
DCOJKA703G,,,42.5,33.5,23,32.75,8.49
DORSP145g,,,40,28,23,25.76,6.68
DBOR60G,,,40,23,25,23,5.96
DBML60,,,40,23,25,23,5.96
DBST30G,,,40,21,24,20.16,5.23
DBCH30G,,,40,21,24,20.16,5.23
DBDH70G,,,40,23,25,23,5.96
DCHSP145G,,,40,28,23,25.76,6.68
Sample Product - 1,Butter Flavor Cookies (Type-1),,32.5,30,27.5,26.81,6.95
Sample Product - 2,Butter Flavor Cookies (Type-2),,37.5,26,28,27.3,7.08
DBML30g,CREME 4 FUN (MILK) 5/-,,40,20.5,23.5,19.27,5
DBST60g,CREME 4 FUN (STB) 10/-,,39.5,23,24.5,22.26,5.77
DBML60g,,,39.5,23,24.5,22.26,5.77
85103 I,AAM 200gms (PB),,44,32.5,18.5,26.46,6.86
DBMM144P,Merry Milk 10/-,,52,39,19.5,39.55,10.25
DBOR30G,CREME 4 FUN (ORG) ,,40,20.5,23.5,19.27,5
DSTS145G,CREME 4 FUN (STB) S/P,,39.5,27.5,23,24.98,6.48
DBB144P,BOUBORN 10RS,,34.5,31.5,19,20.65,5.35
DBBK144,BUTTER KUKKIES 5rs,,32.5,27.5,28,25.03,6.49
DBSKSP400G,SALT KISS 400GM(SUPER SAVER PK),,60,36,24.5,52.92,13.72
DSTSp145G,CREME 4 FUN (STB) S/P,,39.5,27.5,23,24.98,6.48
DPPSP145G,CREME 4 FUN (PPNP) S/P,,39.5,27.5,23,24.98,6.48
